"Date","Price","Open","High","Low","Vol.","Change %"
"09-07-2024","73,212.00","73,212.00","73,212.00","73,212.00","","0.00%"
"08-07-2024","73,212.00","73,383.00","73,383.00","72,964.00","0.00K","-0.44%"
"05-07-2024","73,532.00","73,500.00","73,622.00","73,498.00","0.00K","0.63%"
"04-07-2024","73,075.00","73,015.00","73,110.00","73,015.00","0.00K","1.12%"
"03-07-2024","72,269.00","72,269.00","72,269.00","72,269.00","","0.00%"
"02-07-2024","72,269.00","72,283.00","72,306.00","72,219.00","0.00K","-0.03%"
"01-07-2024","72,292.00","72,292.00","72,292.00","72,292.00","0.00K","-0.09%"
"28-06-2024","72,360.00","72,360.00","72,360.00","72,360.00","0.00K","0.52%"
"27-06-2024","71,986.00","71,603.00","72,291.00","71,603.00","0.00K","0.00%"
"26-06-2024","71,985.00","72,000.00","72,120.00","71,777.00","0.01K","-0.52%"
"25-06-2024","72,361.00","72,300.00","72,482.00","72,300.00","0.00K","-0.04%"
"24-06-2024","72,388.00","72,375.00","72,443.00","72,318.00","0.00K","-0.82%"
"21-06-2024","72,990.00","73,448.00","73,495.00","72,400.00","0.01K","-0.38%"
"20-06-2024","73,269.00","73,269.00","73,269.00","73,269.00","0.00K","1.41%"
"19-06-2024","72,250.00","72,207.00","72,311.00","72,207.00","0.00K","0.27%"
"18-06-2024","72,058.00","72,000.00","72,267.00","71,916.00","0.01K","-0.02%"
"17-06-2024","72,070.00","72,070.00","72,070.00","72,070.00","0.00K","-0.14%"
"14-06-2024","72,169.00","72,050.00","72,407.00","72,050.00","0.00K","0.39%"
"13-06-2024","71,889.00","72,000.00","72,000.00","71,743.00","0.01K","-0.36%"
"12-06-2024","72,151.00","72,052.00","72,250.00","72,052.00","0.00K","0.25%"
"11-06-2024","71,972.00","71,737.00","72,125.00","71,737.00","0.00K","0.15%"
"10-06-2024","71,865.00","71,727.00","72,088.00","71,600.00","0.01K","-0.59%"
"07-06-2024","72,294.00","73,083.00","73,094.00","72,000.00","0.01K","-0.58%"
"06-06-2024","72,718.00","72,718.00","72,718.00","72,718.00","","-0.12%"
"05-06-2024","72,808.00","72,366.00","72,850.00","72,102.00","0.25K","0.68%"
"04-06-2024","72,319.00","72,435.00","72,840.00","71,994.00","0.26K","-0.28%"
"03-06-2024","72,519.00","71,870.00","72,620.00","71,597.00","0.40K","0.40%"
"31-05-2024","72,227.00","72,377.00","72,975.00","72,150.00","0.09K","-0.49%"
"30-05-2024","72,586.00","72,300.00","72,685.00","72,100.00","0.15K","0.03%"
"29-05-2024","72,562.00","72,815.00","72,815.00","72,445.00","0.08K","-0.18%"
"28-05-2024","72,694.00","72,699.00","72,967.00","72,550.00","0.04K","0.19%"
"27-05-2024","72,553.00","72,164.00","72,777.00","72,115.00","0.03K","0.85%"
"24-05-2024","71,942.00","72,000.00","72,195.00","71,823.00","0.04K","-0.51%"
"23-05-2024","72,314.00","73,500.00","73,500.00","72,198.00","0.05K","-1.77%"
"22-05-2024","73,616.00","74,614.00","74,614.00","73,521.00","0.03K","-1.58%"
"21-05-2024","74,796.00","74,500.00","74,932.00","74,438.00","0.08K","0.18%"
"20-05-2024","74,661.00","74,905.00","74,905.00","74,453.00","0.01K","0.55%"
"17-05-2024","74,256.00","73,584.00","74,405.00","73,584.00","0.03K","0.43%"
"16-05-2024","73,940.00","73,894.00","74,013.00","73,731.00","0.02K","0.78%"
"15-05-2024","73,370.00","73,041.00","73,500.00","72,898.00","0.05K","0.82%"
"14-05-2024","72,774.00","72,550.00","72,953.00","72,550.00","0.01K","0.26%"
"13-05-2024","72,588.00","72,872.00","72,872.00","72,350.00","0.01K","-0.58%"
"10-05-2024","73,013.00","72,222.00","73,330.00","72,222.00","0.06K","1.69%"
"09-05-2024","71,798.00","71,622.00","72,109.00","71,450.00","0.02K","0.27%"
"08-05-2024","71,605.00","71,738.00","71,738.00","71,480.00","0.02K","-0.11%"
"07-05-2024","71,686.00","71,702.00","71,735.00","71,557.00","0.02K","-0.01%"
"06-05-2024","71,692.00","71,400.00","71,877.00","71,400.00","0.01K","0.79%"
"03-05-2024","71,127.00","71,573.00","71,573.00","70,833.00","0.01K","0.10%"
"02-05-2024","71,059.00","71,529.00","71,529.00","70,879.00","0.05K","-0.10%"
"01-05-2024","71,127.00","70,947.00","71,307.00","70,947.00","0.00K","-0.13%"
"30-04-2024","71,221.00","71,695.00","71,711.00","70,805.00","0.02K","-0.66%"
"29-04-2024","71,693.00","71,572.00","71,835.00","71,540.00","0.01K","-0.30%"
"26-04-2024","71,912.00","71,698.00","72,022.00","71,698.00","0.01K","0.85%"
"25-04-2024","71,309.00","71,397.00","71,457.00","71,201.00","0.01K","0.09%"
"24-04-2024","71,248.00","71,473.00","71,473.00","71,109.00","0.00K","0.16%"
"23-04-2024","71,132.00","71,070.00","71,418.00","70,710.00","0.02K","-0.83%"
"22-04-2024","71,728.00","72,442.00","72,442.00","71,562.00","0.04K","-1.59%"
"19-04-2024","72,889.00","73,125.00","73,125.00","72,750.00","0.02K","-0.29%"
"18-04-2024","73,100.00","73,100.00","73,100.00","73,100.00","0.00K","-0.15%"
"17-04-2024","73,209.00","73,275.00","73,275.00","73,143.00","0.00K","-0.31%"
"16-04-2024","73,434.00","73,558.00","73,558.00","73,353.00","0.00K","1.23%"
"15-04-2024","72,540.00","72,412.00","72,667.00","72,412.00","0.00K","-1.33%"
"12-04-2024","73,516.00","73,116.00","74,137.00","72,220.00","0.01K","2.13%"
"11-04-2024","71,980.00","71,960.00","72,000.00","71,960.00","0.00K","-0.22%"
"10-04-2024","72,138.00","72,138.00","72,138.00","72,138.00","","0.00%"
"09-04-2024","72,138.00","72,138.00","72,138.00","72,138.00","0.00K","1.30%"
"08-04-2024","71,215.00","71,215.00","71,215.00","71,215.00","","0.40%"
"05-04-2024","70,928.00","69,635.00","71,000.00","69,635.00","0.83K","1.37%"
"04-04-2024","69,967.00","70,218.00","70,218.00","69,826.00","1.18K","-0.02%"
"03-04-2024","69,983.00","69,615.00","70,174.00","69,256.00","0.65K","1.20%"
"02-04-2024","69,150.00","68,889.00","69,368.00","68,800.00","0.81K","0.86%"
"01-04-2024","68,558.00","68,750.00","69,105.00","68,356.00","0.66K","0.98%"
